model,eval_set,n,spearman,pearson,rmse,mae
DistilBERT-128,clean,41957,0.4118425086487784,0.4512603733012771,1.642554746032132,1.2230261118633434
DistilBERT-128,leaky,43018,0.42104393315633176,0.46081284717391,1.6593065965170415,1.2326690609096163
DistilBERT-128,leaked-only,1061,0.4985820499357168,0.4814630197163984,2.2227482997972023,1.6139972521998094
RoBERTa-base-128,clean,41957,0.41868055942893545,0.45096490348320656,1.7046739356515241,1.2876773165017676
RoBERTa-base-128,leaky,43018,0.42595203709175067,0.4587871291649897,1.7196948889951507,1.2966682782227028
RoBERTa-base-128,leaked-only,1061,0.47856914421737373,0.47145698100913946,2.2341499881330673,1.652213792521138
RoBERTa-large-128,clean,41957,0.43234691384099,0.47009959492348863,1.6297703182415246,1.2125719050601398
RoBERTa-large-128,leaky,43018,0.4403706759776355,0.47810866321144974,1.646869159769644,1.222830818924031
RoBERTa-large-128,leaked-only,1061,0.49208968463664643,0.4782909526299239,2.2198518690229205,1.6285171712714472
